Comment,Liked
گوشی عالی ظاهر جلو که فوق العاده هست,1
ظاهر پشت رو شاید یک سری از دوستان نپسندند چون خیلی خوب نیست,0
سخت افزار خیلی قوی ای داره و نرم افزار های سنگین خیلی روان اجرا میشه,1
اگه با قیمتش مشکلی ندارین خیلی گوشی خوبیه و از بقیه خیلی بهتره,1
صفحه نمایش این گوشی یکی از انقلابی ترین نوع های موجود دربازار هست چیزی که تولید کننده های دیگه رو وا داشت که از آن تقلید کنند,1
استفاده از تمام فضای موجود برای صفحه نمایش بسیار عالیه و شکل و ظاهر و.. رو عالی میکنه,1
به دلیل نبود جا و فشرده بودن ایکون باتری فقط قرار گرفته و نمیشه درصد باتریو دید.,0
کیفیت صفحه نمایش عالیه و از هیت نوری مناسبی برخورداره .همه چیز واضح و عالی دیده میشه و کاملا راضی کننده است.,1
نور موبایل به نظرم غیرطبیعیه و مناسب نیست.,0
دوربین قسمت خوب ماجراس چیزی که اصلا ناامیدتون نمیکنه.,1
"دوربین در تمامی شرایط نوری عکس های با کیفیتی میگیره و راضی کنندس چه در سلفی چه 
در دوربین های عقب.",1
کیفیتش در حد گوشی های پرچمدار امسال سامسونگ نیست,0
در مورد تشخیص چهره باید عرض کنم که بسیار دقیق و سریع عمل میکنه و حتی در تاریکی مطلق چهره رو به خوبی شناسایی میکنه و اصلا خطا ندارد.,1
خوشدست و خوشگل است.,1
طراحی زیبا و بسیار شکیل و باکلاسی داره,1
از ایراداتی که میشه به طراحی این محصول گرفت این است که دوربین عقب این گوشی با بدنه هم سطح نیست و بیرون زدگی داره و همین باعث میشه که بر روی سطح های صاف و میز به خوبی قرار نگیره,0
کاملا آدم رو مجذوب خودش میکنه و کاملا راضی کنندس.,1
و یک نقطه که است حذف اثر انگشت در این گوشی است که اگر به زیر صفحه نمایش منتقل میشد بهتر بود تا اینکه کلا نباشه,0
باتری دهی ایفون ایکس به اندازه ای که ازش میخواستم نبود و انتظاراتمو براورده نکرد.,0
صفحه نمایش آمولد هست و ظرفیت بیشتری به نسبت به گوشی های سال های قبلش داره,1
با توجه به کم مصرف تر شدن سی پی یو راضی کننتده نبود,0
به جرات میشه گفت آی او اس یکی از پر باگ ترین هاست.من گوشیو که گرفتم بیلد نامبری که روش بود باگ داشت.باگ هایی ازار دهنده,0
خوشبختانه براش آپدیت جدید اومد و مشکلات زیادیو فیکس کرد و درستش کرد و مشکل حل شد,1
مشکل سازگار نبودن برنامه ها با این رزولویشن پابرجاس.,0
مثلا بعضی از بازی هایی که اپدیت نشدن یا نرم افزار ها هنوز خودشون رو با ایفون ایکس و رزولویشن اون سازگار نکردن,0
نرم افزار رو باز میکنی اندازه صفحه نمایش ایفون های معمولی نمایش میده و بزرگتر نیست و عملا صفحه نمایش بزرگت بی فایده میشه,0
محدودیت هایی نسبت به اندروید وجود داره که ممکنه ازار دهنده باشه براتون.,0
قیمت این محصول بسیار بالاست.,0
"اگر واقعا پولشو ندارید و پولتون براتون مهمه یک مدل پایینتر بخرید یا اندروید بخرید. واقعا بخوام بگم چیز خیلی ضروری
و مهمیو از دست نمیدید. صرفا بازکردن با چهره دلیل بر این نمیشه که با این اختلاف قیمت یک موبایل تهیه کنید.",0
جا داره که از تغیرات محسوس این گوشی نسبت به نسل های گذشته گوشی های ایفون بعد از به کار بردن سنسور تشخیص چهره به تغیر فاحش کیفیت صفحه نمایش و صدای فوق العاده استریوی این گوشی پرداخت,1
واقعا مصرف کننده رو مجذوب خودش میکنه,1
جا داره از سرعت بالا و کاملا روانو بدون باگ این گوشی صحبت کرد که بازم سر و گردنی از سایر رقباش بالاتره که دیگه نیازی به توضیح نیست,1
سنسور تشخیص چهره هم که واقعا کارو تمام کرد برای خاص بودن این گوشی به طوری که حتی در شب مثلا داخل خودرو یا قبل خواب که معمولا نور خیلی کمی وجود داره این سنسور به راحتی عملکرد خودشو انجام میده و گوشی باز میشه بدون زیاد کردن نور صفحه نمایش,1
مزایای امنیتی جالبی هم برای این گوشی وجود داره,1
این برای من واقعا خاص بود,1
در مورد دوربین و کیفیتش که خودتون بهتر از من میدونین فقط اینو بگم که دوستم که اتلیه داره و دوربینشو 6 تومن خریده بود مات کیفیت این گوشی شده بود در همین حد توضیح کافیه,1
سیستم عامل به خوبی با گوشی سازگاره هیچ مشکلی نداره,1
اگر دنبال یه گوشی با کیفیت با ساپورت بالای نرم افزاری میگردید گزینه کاملا مناسبیه.,1
من سه ماهه خریدم از همه چیزش راضی هستم.,1
این گوشی فوق العاده خوشدست و راحته ,1
همه چیزش خوبه,1
فیس آیدی دقیق و سریعتر از اثر انگشت دوربین فوق العاده ضد آب و محکم,1
کیفیت عکس واقعی رو باید بعد از چاپ دید که این گوشی سربلند بود.,1
ارزش قیمتی نداره,0
اگه پولشو دارین شک نکنین چون بهتر از این دیگه تو بازار نیست.,1
تنها نقطه ضعف آیفون ایکس که هیچ کس بهش اشاره نکرده، فلش احمقانه در حالت پرتره است که چشم رو قرمز یا سفید میکنه.,0
با اطمینان میتونم بگم آیفون علاوه بر اینکه هیچ مزیتی بر آندروید نداره کلی هم ازش عقب تره,0
شما نه تنها نمی تونید خیلی از کارارو با آیفون بکنید، بلکه یه سری از کارهایی رو که انجام میدین به سختی هرچه تمام تر نسبت به آندروید باید انجام بدین,0
باگ بسیار زیاد آیفون با این قیمت عجیبه,0
توی این 3 هفته گوشی دو بار هنگ کرده,0
بعضی وقت ها فیس آیدی جواب نمیده و وقتی هم که کار می کنه نسبت به اثر انگشت خیلی کنده,0
علاوه بر همه اینها نبود دگمه بک که گوشی های آندرویدی دارن باعث میشه کار کردن باهاش بسیار کندتر از آندروید باشه,0
باتریش بسیار بده و بسیار کند شارژ میشه با اینکه ظرفیت بالایی نداره,0
خلاصه اینکه واقعا نسبت به پولی که میدید نمی ارزه,0
حتما پیشنهاد میکنم عالیه,1
عیبش برای من حساس بودنش به ضربه بخاطر شیشه ای بودنشه,0
شارژدهی خوبی داره کیفیت دوربینش فوق العاده اس بخصوص دوربین سلفیش,1
این با اینکه به اخرین اپدیت هم ریستور کردم خیلی باگ داره,0
در عوض کار کردن باهش خوبه خوشدست هست دوربین عالیه فیس ایدیش واقعا خوب جواب میده و لذت خاصی داره.,1
به امید اینکه با اپدیت های بعدی باگ هاش رفع شه چون واقعا اعصاب خورد کنه,0
تعریف از کیفیت این گوشی مثل آب در هاون کوبیدنه,1
فقط میتونم بگم از وقتی این شکل از دوربین و ناچ صفحه نمایش بکار برده شد شرکت های دیگه دارن از این دیزاین پیروی ( تقلید) می کنن,1
با قیمت‌های فعلی بازار ایران خرید گوشی نو پیشنهاد نمی‌کنم.,0
بسیار عالی و با کیفیت بخصوص صفحه نمایش ساخت ساسمونگ,1
در یک کلام فوق العاده خوب است,1
شرکت ثابت کرده همیشه محصولی انقلابی رو عرضه میکنه.,1
در این همه چیز در بهترین حالت قرار داره.,1
آپتیمایزیشن و هماهنگی نرم افزار و سخت افزار باعث بهترین کارایی میشه.,1
بخاطر هماهنگی کامل سیستم عامل نرم افزار و سخت افزار، کارایی بسیار بالاتری رو شاهد خواهید بود.,1
میتونم بگم که کاملا راضی هستم از این محصول تا این جا,1
واقعا از همه نظر عالیه این گوشی,1
کیفیت بالا دوربین خیلی عالی,1
من که کاملا از این راضی هستم,1
نقطه ضعفش همون که بدون تبدیل یا ایرپاد نمیشه از گوشی و هندزفری استفاده کرد و البته قیمت فعلیش تو بازار ایران,0
این گوشی به نظرم بهترین گوشی هست که بشر تونسته تا به امروز اونو طراحی کنه و بسازه,1
اگه از ضعف باطری که بخاطر کیفیت بالای صفحه نمایش هست چشم پوشی کنیم در یک کلام بهترین هست.,1
شک نکنید نسبت به هزینه ای که میکنید قابلیت های کمتری رو در یافت می کنید,0
برخی امکاناتی که اپ به تازکی اضافه کرده ماننده فست شارژ و شارش وایرلس (شارژ بیسیم) قابلیت هایی نیست که اپل به تازگی به اون دست پیدا کرده فقط اینکه میادتوی هر ورژن یه قابلیت اضافه میکنه که گوشی بدون نو اوری نده چون شعار اپل نو آوری هست,0
شما برید توی سایت ها و قیمت های هر دو پرچم دارو به دلار ببینید و با توجه به تکنولوژی های به کار رفته که حداقل چند سال جلو تر از اپل فعلی است ولی قیمت نصف هست.,0
مارکت فوق العاده قوی که باعث میشه هر اپی داخل مارکت گنجانده نشه و تمام اپ ها با استاندارهای لازم دولوپ می شوند که باعث ایجاد برنامه ها و بازی های سنگین بدون لگ و سهولت در انجام کار شده,1
دوربین های استفاده شده در این گوشی به نسبت سامسونگ و سونی انتظار رو کمی پایین اورده.,1
صفحه نمایشگر هم که با استفاده از سامسونگ توانسته علاوه بر افزدون زیبایی به محصول قابلیت هایی را اضافه کنه,1
یکی از قدرتمند ترین تراشه های موجود را در اختیار دارد.,1
چیزای تکراری که یهو اپل معرفی کرده و کسایی که محدود به همون امکانات قبلی بودن حس نواوری بهشون دست داد,0
خیلی گرونه مگه پولتان و از سر راه آوردید واقعا ارزش خرید ندارد.,0
این گوشی امروز به دستم رسید، تا چند دقیقه مبحوت طراحی بی نظیرش شده بودم,1
رابط کاربری واقعا در سطح فیلم های فضایی پیشرفت کرده.,1
خریدش رو برای همه توصیه میکنم.,1
به نظر من اشتباه محضه وقتی میتونی با کمترین مبلغ بهترین همرده وشاید بالاتر از این برند رو خریداری کنی,0
برای منو شمایی که دوست داریم به راحتی و کمترین هزینه انواع اقسام اپلیگیشن و موزیک و فیلم .. رو توی گوشی داشته باشیم ایفون محدودیت داره,0
این گوشی از همه نظر عالیه، هیچ ایرادی نمیشه ازش گرفت,1
در اینکه گوشی خوبی هست شکی نیست.,1
قابلیت عکاسی پرتره به شکل زیبایی خودنمایی میکنه.,1
آیفون تا به حال در هیچ یک از محصولاتش قابلیت دو سیمکارته بودن رو نداشته.,0
سیستم عامل مخصوص اپل که در هماهنگی بسیار مناسبی با سخت افزار آن است.,1
این گوشی نظر هرکی رو میتونه به خودش جلب کنه,1
تغییرات جدید و جذاب که روش ایجاد شده به نظر من فوق العاده هست,1
از همه بیشتر به نظر من ظاهر جدید گوشی هست که خیلی به چشم میتونه بیاد,1
حاشیه ی سیاه بالای صفحه اش خیلی بد و زننده هست,0
اگر به بقیه ی گوشی ها نگاه کنین می بینین که نصف این قیمتو دارن و نیاز رو هم برطرف میکنن!,0
طراحی ظاهری و ژست های حرکتی منحصر به فرد داره,1
این گوشی فوق العادست و با وجود اینکه صفحه نمایش بزرگی داره اما وقتی دستتون میگیرید متوجه میشید که خیلی خوشدست هست,1
کیفیت ساخت بالایی داره و همه چیز این گوشی مهندسی شده است,1
عاشقشم در اولین فرصت که موجود بشه میخرم,1
واقعا بسیار گرون و بی ارزشه,0
هیچ نوآوری جدیدی نداره,0
تو شب دوربین جلوش اونقدر که باید عالی نیست و نور رو خوب تنظیم نمیکنه,0
رقیب نداره عالیه,1
هنگ کردن ، لگ و تاخیر من که تا حالا نداشتم,1
قابلیت انیموجی جالب و سرگرم کننده است,1
قابلیت های زیادی داره و امکانات زیادی هم داره,1
یه نقطه صعف بزرگی که ایفون من داره خالی شدن شارژ باتری بصورت محسوس تو حالت استندبای هست حتی وقتی باتری درحالت ذخیره انرژی هست,0
این گوشی خدایش نقات قوت زیاد و جالبی داره,1
باید بگم که حرف نداره یعنی اوج ساخت بشر بدون شک ده سال از تمام برندها جلوتره اپل,1
واقعا حتی نگاه کردن بهش لذت داره من هنوز ذهنم به این باور نرسیده که همچین چیزی ساختن واقعا معرکه هست,1
گوشی فوق العاده ای برای کارهای روزمره است,1
از لحاظ سخت افزاری و هماهنگی سیستم عامل با سخت افزار فوق العاده است,1
محدودیت های شرکت اپل بعد یک مدت خسته تون میکنه,1
گوشی خوبیه ولی به نظرم اصلا به قیمتش نمی ارزه,0
صفحه نمایشش بی نظیره و در وهله اول شما مجذوب نور و رنگ اون میشین,1
این گوشی به قیمتش نمی ارزه و اصلا طراحی خوبی نداره,0
این گوشی از لحاظ دوربین و صفحه نمایش و حافظه و نوآوری از برندهای سونی و سامسونگ هم در سطح پایین تری قرار دارد.,0
سخت افزار و نرم افزار ماله خودشه و نوآوری خاص خودش رو خلق میکنه,1
ابتکار جالبیه و کار باهاش خیلی راحت شده,1
کیفیت دوربین خیلی خوبه شارژش خیلی خوب میمونه,1
خیلی گوشی خوبیه حس خوبی به آدم میده و خوشدست هست,1
ظاهر خوب و جذابی داره و کیفیتش به مراتب بهتر از دیگر نسخه های ایفون هست,1
عملکرد سیستم تشخیص چهره در حد انتظار نبود و امنیت چندانی ندارد,0
عدم پشتیباتی از سیستم تشخیص اثر انگشت هم خلا امنیت رو تو این نسخه بیشتر کرده.,0
فریز شدن صفحه و لگ هایی عجیب و خنده دار داره,0
فوق العاده هست واقعا ارزش خرید داره,1
بالاترین تکنولوژی و کیفیتی که از یه گوشی موبایل میشه انتظار داشت داره,1
تجربه کار با فیس آیدی خیلی جذاب و لذت بخشه,1
دوربین با کیفیت ، بدنه ی زیبا و سیستم عامل روان آی او اس از جمله ویژگی های بارز این محصول هستن .,1
نسبت به قیمت ارزش خرید نداره,0
صفحه نمایش فوق العاده ای داره واقعا صدای بلند و باکیفیتی داره,1
این گوشی از همه نظر عالی هست,1
هیچ ایرادی نمی تونم پیدا کنم و واقعا بدون هیچ تعصبی نسبت به مارکش میگم عالیه,1
از لحاظ سخت افزاری فوق العاده هست و و سیستم عامل روان و پشتیبانی خوبی داره,1
ارزش خرید نسبت به قیمت بسیار پایین است,0
از خریدش خیلی راضی هستم و سایزش بسیار عالیه,1
به نظر من این قیمت نمی ارزه,0
دوربینی که این گوشی داره معرکه است,1
شیفته ی طراحیش شدم از دوربین کاملا راضی ام,1
گوشی بی نظیری هست پردازنده اش قوی ترین پردازنده موبایلی دنیا هست,1
این گوشی با این امکانات اصلا ارزش خرید نداره,0
آیفون از نظر کیفیت و کارایی بی نظیر هست و تقریبا غیرقابل قیاس با گوشی های دیگه,1
امنیت و حفاظت گوشی از اطلاعات بی نظیره و عکس ها هم شفاف و جالب هستن,1
از کیفیت ساخت و امنیت خوبی برخوردار است,1
گوشی بسیار خوشدست طراحی شده، و به راحتی میشه با یک دست باهاش کار کرد,1
خیلی سریع و بدون لگ برنامه ها رو باز میکنه,1
"نوردهی صفحه هم به نظر بنده بهتر و واقع گرایانه تر شده , اثر انگشت هم که از سری قبلی سریع تر شده",1
تجربه خاص و فوق العاده ای در استفاده از این گوشی کسب کردم,1
از هر لحاظ هم کار کردم باهاش خیلی خوب بود. و تمام چیزای که از یه گوشی انتظار دارید رو برآورده میکنه,1
این گوشی از بهترین امکانات و تکنولوژی روز بهره میبره و بسیار هم خوشدست و زیبا هستش,1
ظاهر خیلی شیک و فوق العاده ای داره هم دوربین از همه گوشی ها بهتر نمره گرفته,1
هم سخت افزار فوق العاده قوی داره هم صفحه نمایش عالیه.,1
اصلا نوآوری خاصی نداره,0
درکل نسبت به قیمتش ارزش خرید نداره ظرفیت باتری که خیلی پایینه,0
یک تلفن همراه فوق العاده است ، در خریدش تردید به دل راه ندید ، اکوسیستم اپل بی نظیر هست,1
این گوشی واقعا عالیه در خرید این گوشی شک نکنید واقعا ارزش داره,1
متاسفانه موجب جلب نظر بنده نشد و با انبوهی از کاستی مواجه شدم ,0
طراحی ظاهر واقعا فوق العاده هست با قاب شیشه پشتش خیلی شیک به نظر میرسه,1
از لحاظ سخت افزاری هم بسیار قوی و جلوی هیچ بازی و نرم افزار کم نمیاره,1
از هر نظر گوشی فوق العاده ای هستش,1
این گوشی چیپست فوق العاده قدرتمندتر و سریعتری نسبت به بقیه داره,1
سرعت و راحتی فوق العاده ای در ایفون هست و احساس خوبی به ادم موقع کار کردن دست میده,1
گوشی اصلا هنگ نمیکنه یا کند نمیشه,1
نیازی به تعریف نداره حرفی توش نیست واقعا عالیه,1
تصویربرداری پرتره عالی و منحصر بفردی داره.,1
قاب شیشه ای پشت و ظاهر بسیار گیرا و جذابه.,1
به لحاظ سیستمی کارکرد عالی داره برنامه ها خوب مدیریت میشن، رم جوابگوی همه کاری هست,1
نرم افزار به شدت با سخت افزار یکپارچه سازی شده و دقیقا هر دو باهم هماهنگ هستن و این حد اعلی کیفیت رو به وجود میاره,1
امکان افزایش حافظه وجود نداره,0
سرعت پردازنده ی جدید ایفون فوق العاده است از همه نظر عالیه,1
